n,k,freqs
3.4634044,1.4867198e-05,1.3419830239159682
3.463413,2.0599266e-05,1.3468629621847537
3.4634163,2.3017663e-05,1.3517429004535388
3.4634268,-2.3173383e-05,1.3566228387223243
3.4634247,-2.3463966e-05,1.3615027769911097
3.4634216,-9.465939e-06,1.3663827152598949
3.463405,8.682737e-07,1.3712626535286803
3.4633949,8.43115e-06,1.3761425917974657
3.4633904,1.838247e-05,1.3810225300662509
3.4633846,1.3303588e-06,1.3859024683350363
3.4633873,4.8427537e-06,1.3907824066038217
3.4633899,2.1624546e-05,1.3956623448726069
3.4634016,2.962981e-05,1.4005422831413923
3.4634101,2.384585e-06,1.4054222214101777
3.463423,1.7563507e-05,1.4103021596789629
3.4634275,2.705843e-05,1.4151820979477483
3.4634242,5.2841115e-06,1.4200620362165337
3.4634404,1.2768067e-05,1.424941974485319
3.4634354,-6.4428823e-06,1.4298219127541043
3.4634497,-6.7031397e-06,1.4347018510228897
3.4634368,5.4263774e-07,1.439581789291675
3.4634194,-2.9099228e-05,1.4444617275604603
3.4634047,-1.4121807e-05,1.4493416658292457
3.4634001,-3.2313483e-06,1.454221604098031
3.4634113,-2.506288e-05,1.4591015423668163
3.463398,-1.274741e-05,1.4639814806356017
3.463393,-1.6047102e-06,1.468861418904387
3.4633994,-2.0819672e-05,1.4737413571731723
3.463389,1.1858212e-05,1.4786212954419578
3.463396,1.9101935e-05,1.483501233710743
3.4634259,3.2927494e-06,1.4883811719795284
3.463438,6.2933123e-06,1.4932611102483138
3.4634278,-1.1343774e-05,1.498141048517099
3.4634128,-9.530546e-06,1.5030209867858844
3.4634178,-2.7508036e-06,1.5079009250546698
3.4634163,2.3476064e-06,1.512780863323455
3.4634173,4.6936384e-06,1.5176608015922404
3.463418,7.3920796e-06,1.5225407398610258
3.4634144,-3.4481072e-05,1.5274206781298112
3.463433,-1.601948e-05,1.5323006163985964
3.4634051,-2.970407e-05,1.5371805546673818
3.4634013,-1.48689305e-05,1.5420604929361672
3.4634066,-3.7800604e-05,1.5469404312049524
3.463393,-1.8046721e-05,1.5518203694737378
3.463392,-2.1292776e-06,1.5567003077425232
3.4634087,7.321055e-07,1.5615802460113084
3.4634135,-2.5945006e-05,1.5664601842800938
3.4634256,-1.8826722e-05,1.5713401225488792
3.4633934,-2.119225e-05,1.5762200608176644
3.4634326,-1.7385722e-05,1.5810999990864498
3.4633913,-1.3893677e-05,1.5859799373552352
3.4633915,-3.8776825e-06,1.5908598756240204
3.4634297,-2.0792026e-05,1.5957398138928058
3.4634209,-3.5657395e-05,1.6006197521615912
3.4634101,-3.032037e-05,1.6054996904303764
3.46342,-5.0563824e-05,1.6103796286991618
3.4633977,-3.7798505e-05,1.6152595669679473
3.463389,-2.9502666e-05,1.6201395052367324
3.4634278,-2.2991951e-05,1.6250194435055179
3.463393,-2.376271e-05,1.6298993817743033
3.4634228,-6.0496486e-06,1.6347793200430885
3.4634192,-5.4480326e-05,1.6396592583118739
3.4634,-3.7672216e-05,1.6445391965806593
3.463387,-3.0894418e-05,1.6494191348494445
3.4633815,-2.262148e-05,1.6542990731182299
3.4634235,-1.307138e-05,1.6591790113870153
3.463431,-4.861598e-06,1.6640589496558005
3.4634287,-2.4273337e-05,1.668938887924586
3.463456,-2.8004539e-05,1.6738188261933713
3.463438,-2.2975539e-05,1.6786987644621565
3.4634366,-2.483349e-05,1.683578702730942
3.4634125,-5.8023685e-05,1.6884586409997273
3.4634037,-3.9263727e-05,1.6933385792685125
3.4634323,-4.3034663e-05,1.698218517537298
3.4633937,-3.92026e-05,1.7030984558060833
3.4633899,-4.269582e-05,1.7079783940748687
3.4633858,-2.6939977e-05,1.712858332343654
3.4634113,-4.1371364e-05,1.7177382706124393
3.4633965,-2.3895336e-05,1.7226182088812247
3.463389,-2.7208918e-05,1.72749814715001
3.4634237,-1.3566198e-05,1.7323780854187953
3.4634216,-9.131631e-06,1.7372580236875808
3.463434,-5.7981717e-05,1.742137961956366
3.4634163,-4.6013407e-05,1.7470179002251514
3.4634051,-3.6529516e-05,1.7518978384939368
3.4634368,-4.7336613e-05,1.756777776762722
3.4634361,-3.2157932e-05,1.7616577150315074
3.4634068,-2.7924538e-05,1.7665376533002928
3.4634352,-4.6471967e-05,1.771417591569078
3.4634473,-3.8963404e-05,1.7762975298378634
3.4634302,-4.1402258e-05,1.7811774681066488
3.4634101,-6.9496455e-05,1.786057406375434
3.4634178,-4.743166e-05,1.7909373446442194
