frequencies,n_NR
1.0491867277888478,(3.461681158904322+5.8653386117525366e-05j)
1.0540666660576332,(3.4616875590980527+5.4109621204977405e-05j)
1.0589466043264186,(3.4616902313197495+4.7900522491237896e-05j)
1.0638265425952038,(3.461689643563231+4.2716448586054074e-05j)
1.0687064808639892,(3.4616878032936427+3.9827787666693774e-05j)
1.0735864191327746,(3.4616866246713034+3.8577015920158875e-05j)
1.0784663574015598,(3.4616865522324214+3.727539069183726e-05j)
1.0833462956703452,(3.461686416087259+3.479377426651357e-05j)
1.0882262339391306,(3.4616845914421424+3.162174955042433e-05j)
1.0931061722079158,(3.4616805301773144+2.957571943704096e-05j)
1.0979861104767012,(3.4616754537342063+3.0399011184451526e-05j)
1.1028660487454867,(3.4616716669395835+3.434067276237879e-05j)
1.1077459870142718,(3.461670991013839+3.979711807449103e-05j)
1.1126259252830573,(3.4616734670745757+4.4329502463129706e-05j)
1.1175058635518427,(3.461677336932417+4.6357725443204454e-05j)
1.1223858018206279,(3.4616803961410554+4.624763057300871e-05j)
1.1272657400894133,(3.461681705729516+4.589189450788254e-05j)
1.1321456783581987,(3.4616822948354216+4.708723182769599e-05j)
1.1370256166269839,(3.4616843072903074+4.999768093946894e-05j)
1.1419055548957693,(3.461689281894945+5.286579842134011e-05j)
1.1467854931645547,(3.4616968262567416+5.314729491785913e-05j)
1.1516654314333399,(3.461704605463521+4.92898127339408e-05j)
1.1565453697021253,(3.461709729187894+4.195332580998496e-05j)
1.1614253079709107,(3.4617106628785645+3.371920880900617e-05j)
1.1663052462396961,(3.4617082216658166+2.7355199371663908e-05j)
1.1711851845084813,(3.461704779664636+2.39669869571964e-05j)
1.1760651227772667,(3.461702368514839+2.255645352567696e-05j)
1.1809450610460521,(3.461701278406032+2.1222368234279177e-05j)
1.1858249993148373,(3.4617001667149787+1.8884072080191876e-05j)
1.1907049375836227,(3.461697416079995+1.6212401276098555e-05j)
1.1955848758524081,(3.4616926922060745+1.5157180505610532e-05j)
1.2004648141211933,(3.461687564863112+1.7396195739265983e-05j)
1.2053447523899787,(3.461684634673005+2.2818029998788583e-05j)
1.2102246906587641,(3.461685719893474+2.926716493692156e-05j)
1.2151046289275493,(3.4616904998118097+3.3848996784857554e-05j)
1.2199845671963347,(3.4616966804408853+3.481926414467765e-05j)
1.2248645054651202,(3.4617015456763576+3.2666548833723045e-05j)
1.2297444437339053,(3.461703794805461+2.9638463674079017e-05j)
1.2346243820026908,(3.461704391555611+2.8000083332149703e-05j)
1.2395043202714762,(3.461705726083994+2.820551871636373e-05j)
1.2443842585402614,(3.46170957438301+2.8408411946573895e-05j)
1.2492641968090468,(3.4617154116754607+2.583068973539524e-05j)
1.2541441350778322,(3.461720458937568+1.8977908579200203e-05j)
1.2590240733466174,(3.4617214431283867+9.016157353763067e-06j)
1.2639040116154028,(3.4617168094614406-6.585983891703105e-07j)
1.2687839498841882,(3.4617079075360055-6.390092193845166e-06j)
1.2736638881529734,(3.4616982983344227-6.5322336251829526e-06j)
1.2785438264217588,(3.461691514801105-2.4383880584501623e-06j)
1.2834237646905442,(3.461688851021167+2.656150882422122e-06j)
1.2883037029593294,(3.4616888764912677+6.017261821390926e-06j)
1.2931836412281148,(3.4616889384313145+7.180388632891649e-06j)
1.2980635794969002,(3.4616873427520476+7.887125701136787e-06j)
1.3029435177656854,(3.461684623339548+1.045515715982416e-05j)
1.3078234560344708,(3.4616831277455664+1.58150513702455e-05j)
1.3127033943032562,(3.4616852469642985+2.256261840128802e-05j)
1.3175833325720414,(3.4616915234933816+2.774066181899047e-05j)
1.3224632708408268,(3.461700071634852+2.884342552124998e-05j)
1.3273432091096122,(3.461707802359483+2.5514670528723678e-05j)
1.3322231473783974,(3.461712477795374+1.9625114575421212e-05j)
1.3371030856471828,(3.461713993849848+1.3757426605377638e-05j)
1.3419830239159682,(3.4617139947972873+9.336592507278172e-06j)
1.3468629621847537,(3.461714203896191+5.814882339422055e-06j)
1.3517429004535388,(3.461714774841134+1.5179510307468225e-06j)
1.3566228387223243,(3.4617140021833204-4.473480318585081e-06j)
1.3615027769911097,(3.4617097575728337-1.0924047753101855e-05j)
1.3663827152598949,(3.461701597185294-1.4812479225156587e-05j)
1.3712626535286803,(3.461691788654274-1.336631134690956e-05j)
1.3761425917974657,(3.4616842854228786-6.229607310873988e-06j)
1.3810225300662509,(3.461682320118956+3.944361477627801e-06j)
1.3859024683350363,(3.461686365542005+1.2966975898779599e-05j)
1.3907824066038217,(3.4616939005231644+1.7621674879765424e-05j)
1.3956623448726069,(3.4617011155908535+1.7493217857742968e-05j)
1.4005422831413923,(3.4617053913255877+1.490647099241173e-05j)
1.4054222214101777,(3.4617068634497055+1.3028778155702853e-05j)
1.4103021596789629,(3.4617079752044146+1.3470126252546229e-05j)
1.4151820979477483,(3.461711351616195+1.513425063712786e-05j)
1.4200620362165337,(3.4617176115673014+1.5154456809706384e-05j)
1.424941974485319,(3.4617247450701667+1.1141759046035084e-05j)
1.4298219127541043,(3.4617294274065125+3.0551447761504928e-06j)
1.4347018510228897,(3.4617292630521503-6.5904504146911735e-06j)
1.439581789291675,(3.4617244093680473-1.4277860756335895e-05j)
1.4444617275604603,(3.461717458399379-1.7750417156297974e-05j)
1.4493416658292457,(3.4617115993334844-1.738440273712932e-05j)
1.454221604098031,(3.4617083856776603-1.5594907708003505e-05j)
1.4591015423668163,(3.4617068663039627-1.469747846753832e-05j)
1.4639814806356017,(3.461704795749973-1.4954099577069525e-05j)
1.468861418904387,(3.461700938762537-1.4413011881607303e-05j)
1.4737413571731723,(3.461696588866907-1.0732065176055677e-05j)
1.4786212954419578,(3.461694955973821-3.6026328206175942e-06j)
1.483501233710743,(3.461698685455298+4.245913913165298e-06j)
1.4883811719795284,(3.4617074193731785+8.541172072201912e-06j)
1.4932611102483138,(3.4617175113067877+6.454948124126847e-06j)
1.498141048517099,(3.4617242523449234-1.29195370799905e-06j)
1.5030209867858844,(3.46172489719051-1.0814557812260876e-05j)
1.5079009250546698,(3.4617203228645543-1.755849124280192e-05j)
1.512780863323455,(3.4617142954987687-1.9149491098587173e-05j)
1.5176608015922404,(3.461710891518311-1.6751519023670623e-05j)
